,Name,Roll_no,Age,Gender,Branch,Internships,CGPA,Hostel,Backlogs,PlacedOrNot
99,Suresh,cs15b1223,21,Male,Computer Science,1,8.22,0,0,1
100,Aarna,ec15b1413,21,Female,Electronics And Communication,2,7.19,0,0,1
101,Mukesh,cv15b1105,21,Male,Civil,0,8.43,0,0,1
102,Surendranath,cv15b1227,20,Male,Civil,0,8.35,1,0,1
103,Umesh,cs15b1461,22,Male,Computer Science,0,6.11,0,1,0
104,Sahil,cs15b1526,19,Male,Computer Science,1,7.45,0,0,0
105,Arya,it15b1448,20,Male,Information Technology,0,7.24,0,1,0
106,Baltej,ec15b1122,22,Male,Electronics And Communication,2,8.05,0,0,1
107,Myra,it15b1511,20,Female,Information Technology,0,6.09,0,0,0
108,Sundar,cs15b1293,22,Male,Computer Science,1,9.06,0,0,1
109,Akhil,cv15b1250,22,Male,Civil,1,6.14,0,0,0
110,Sukhbir,el15b1280,22,Male,Electrical,3,7.12,0,0,0
111,Dhriti,cs15b1601,22,Female,Computer Science,1,7.32,0,0,0
112,Rajendra,me15b1013,23,Male,Mechanical,0,6.49,1,0,1
113,Kiran,me15b1379,20,Female,Mechanical,0,9.46,1,0,1
114,Aradhya,cv15b1243,20,Female,Civil,0,7.07,0,0,0
115,Sahil,cs15b1615,19,Male,Computer Science,1,7.31,1,0,0
116,Anika,ec15b1002,22,Female,Electronics And Communication,0,6.26,0,0,0
117,Sekar,cs15b1167,22,Male,Computer Science,1,7.41,0,0,1
118,Joglekar,it15b1684,21,Male,Information Technology,0,8.08,0,0,1
119,Aiza,it15b1551,21,Female,Information Technology,0,6.21,0,0,0
120,Krishnappa,el15b1188,22,Male,Electrical,0,5.03,0,0,0
121,Rahil,ec15b1308,19,Male,Electronics And Communication,1,8.37,0,1,1
122,Ishita,it15b1246,21,Female,Information Technology,2,7.13,0,1,1
123,Lakshman,it15b1065,21,Male,Information Technology,0,8.18,0,1,1
124,Avni,ec15b1024,21,Female,Electronics And Communication,1,6.06,0,1,0
125,Pratapsinh,cv15b1075,22,Male,Civil,1,8.02,0,0,1
126,Tithira,it15b1062,21,Female,Information Technology,2,7.29,0,0,1
127,Arhaan,it15b1523,21,Male,Information Technology,0,6.14,0,0,0
128,Manabendra,cv15b1190,21,Male,Civil,0,5.29,0,1,0
129,Yashika,cs15b1311,21,Female,Computer Science,1,8.27,0,0,1
130,Gurcharan,cs15b1706,21,Male,Computer Science,1,7.47,0,0,0
131,Narayan,it15b1420,21,Male,Information Technology,0,5.06,0,0,0
132,Abhijit,cs15b1591,22,Male,Computer Science,3,6.48,1,0,1
133,Niyati,cs15b1013,22,Female,Computer Science,1,8.28,0,0,1
134,Pitamber,me15b1322,22,Male,Mechanical,1,8.5,1,0,1
135,Sourav,el15b1251,19,Male,Electrical,0,7.38,0,0,0
136,Hitendra,it15b1314,21,Male,Information Technology,0,7.42,0,0,0
137,Diyara,cs15b1016,21,Female,Computer Science,1,7.48,0,0,1
138,Samar,el15b1232,22,Male,Electrical,0,5.37,1,0,0
139,Maulik,cs15b1663,21,Male,Computer Science,1,6.05,0,0,0
140,Zara,el15b1059,22,Female,Electrical,0,8.38,0,0,1
141,Nitish,me15b1080,21,Male,Mechanical,1,7.26,0,0,0
142,Dnyandeo,cv15b1183,21,Male,Civil,0,7.14,0,0,0
143,Yash,me15b1096,22,Male,Mechanical,0,8.26,1,0,1
144,Ishi,it15b1513,21,Female,Information Technology,1,5.45,0,0,0
145,Abhinav,me15b1416,23,Male,Mechanical,0,7.04,1,0,0
146,Adarsh,cs15b1449,23,Male,Computer Science,0,5.27,0,1,0
147,Pratapsinh,cv15b1002,22,Male,Civil,0,8.24,0,0,1
148,Nathuram,cs15b1603,22,Male,Computer Science,1,7.42,0,0,0
149,Anaya,cv15b1188,24,Female,Civil,0,6.3,0,0,1
150,Venkata Swamy,me15b1353,21,Male,Mechanical,0,8.32,1,0,1
151,Amaya,cs15b1035,24,Female,Computer Science,2,5.17,0,0,1
152,Avya,ec15b1054,22,Female,Electronics And Communication,0,7.13,0,0,0
153,Jaipal,cs15b1517,21,Male,Computer Science,1,8.09,0,0,1
154,Amara,cv15b1204,22,Female,Civil,0,7.34,0,0,0
155,Anurag,it15b1041,24,Male,Information Technology,3,7.47,0,0,1
156,Aarohi,el15b1137,22,Female,Electrical,0,8.37,0,0,1
157,Shridhar,el15b1169,21,Male,Electrical,0,8.2,0,0,1
158,Pratik,it15b1659,22,Male,Information Technology,0,7.1,0,0,0
159,Prataprao,cs15b1040,23,Male,Computer Science,1,6.45,0,0,0
160,Dileesh,cs15b1241,21,Male,Computer Science,1,8.09,0,0,1
161,Inaya,ec15b1254,21,Female,Electronics And Communication,0,7.1,0,0,0
162,Anshi,cs15b1212,22,Female,Computer Science,1,6.29,0,0,1
163,Vani,it15b1510,19,Female,Information Technology,0,6.25,0,1,0
164,Anaya,cs15b1121,21,Female,Computer Science,0,7.36,0,0,1
165,Anaya,cs15b1215,22,Female,Computer Science,0,6.23,0,0,1
166,Rahil,cs15b1102,21,Male,Computer Science,0,7.45,0,0,0
167,Ajit,it15b1250,22,Male,Information Technology,2,7.49,0,0,1
168,Kazi,cv15b1054,22,Male,Civil,0,6.17,0,0,0
169,Dinesh,it15b1553,21,Male,Information Technology,0,8.38,0,0,1
170,Arya,me15b1383,20,Female,Mechanical,0,7.35,1,1,0
171,Suresh,it15b1266,22,Male,Information Technology,1,7.33,0,0,0
172,Krishnadev,cv15b1213,21,Male,Civil,0,7.06,0,0,0
173,Hemant,it15b1352,21,Male,Information Technology,0,6.46,0,0,0
174,Ritwik,cs15b1401,22,Male,Computer Science,0,6.1,0,1,0
175,Vani,it15b1160,21,Female,Information Technology,2,8.34,0,0,1
176,Pratik,cs15b1085,21,Male,Computer Science,0,6.41,1,0,0
177,Krishnappa,me15b1196,26,Male,Mechanical,1,6.22,0,0,1
178,Pitamber,me15b1246,22,Male,Mechanical,1,6.22,1,0,0
179,Dnyandeo,cs15b1755,22,Male,Computer Science,1,8.24,0,0,1
180,Mehul,cv15b1152,24,Male,Civil,0,6.27,0,0,1
181,Pihu,ec15b1283,19,Female,Electronics And Communication,2,8.17,0,0,1
182,Anushka,me15b1360,20,Female,Mechanical,1,6.26,1,0,0
183,Nihal,me15b1068,22,Male,Mechanical,0,7.08,1,0,0
184,Kishor,cs15b1146,21,Male,Computer Science,2,7.15,0,0,1
185,Aadya,el15b1292,20,Female,Electrical,0,9.22,0,1,1
186,Birendra,it15b1450,21,Male,Information Technology,2,7.43,0,0,1
187,Naveen,cv15b1061,22,Male,Civil,1,8.17,0,0,1
188,Anjali,cs15b1695,21,Female,Computer Science,1,8.13,1,0,1
189,Akasha,ec15b1167,22,Male,Electronics And Communication,1,7.07,0,0,0
190,Birendra,el15b1142,21,Male,Electrical,1,7.22,0,0,1
191,Anika,cs15b1723,20,Female,Computer Science,1,6.42,0,0,0
192,Manabendra,me15b1185,22,Male,Mechanical,1,7.16,1,0,0
193,Tara,it15b1359,22,Female,Information Technology,2,8.04,0,0,1
194,Shanaya,cv15b1233,21,Female,Civil,0,7.31,1,0,0
195,Kaustubh,it15b1109,22,Male,Information Technology,1,6.14,1,0,0
196,Anshita,it15b1594,21,Female,Information Technology,2,6.44,0,0,1
197,Adhar,ec15b1198,21,Male,Electronics And Communication,1,6.11,0,0,0
198,Amrik,it15b1671,21,Male,Information Technology,0,6.38,0,0,0
199,Aamna,cv15b1128,22,Female,Civil,2,7.04,1,0,0
200,Subbiah,cs15b1106,21,Male,Computer Science,0,6.22,1,1,0
201,Amara,it15b1216,22,Female,Information Technology,0,7.25,0,0,0
202,Pratik,it15b1007,21,Male,Information Technology,1,6.4,0,0,0
203,Aanya,cs15b1339,26,Female,Computer Science,1,7.3,0,0,1
204,Aarna,me15b1311,19,Female,Mechanical,0,6.11,1,0,0
205,Tithira,cs15b1259,22,Female,Computer Science,2,7.29,0,0,1
206,Vinay,cv15b1111,21,Male,Civil,0,8.34,0,0,1
207,Lakshan,it15b1019,21,Male,Information Technology,0,8.5,0,0,1
208,Ranjitsinh,cs15b1770,22,Male,Computer Science,2,8.12,0,1,1
209,Ritwik,cs15b1571,19,Male,Computer Science,1,7.12,0,0,1
210,Nana,me15b1038,21,Male,Mechanical,0,7.06,0,1,1
211,Bharat,cs15b1541,22,Male,Computer Science,1,8.31,0,0,1
212,Surinder,cs15b1630,20,Male,Computer Science,0,7.05,0,1,0
213,Elangovan,it15b1680,23,Male,Information Technology,1,6.16,1,0,0
214,Narendra,it15b1663,22,Male,Information Technology,1,6.48,0,1,0
215,Aahana,it15b1474,21,Female,Information Technology,2,7.09,0,1,0
216,Birendra,cs15b1385,24,Male,Computer Science,0,8.14,0,0,1
217,Nadeem,it15b1587,20,Male,Information Technology,0,6.5,0,0,0
218,Mukesh,cs15b1268,21,Male,Computer Science,1,6.46,1,1,0
219,Muthuswamy,me15b1024,22,Male,Mechanical,0,8.09,1,0,1
220,Risha,el15b1330,22,Female,Electrical,1,6.18,0,1,0
221,Nia,cs15b1637,21,Female,Computer Science,2,6.38,0,0,1
222,Ganpatrao,ec15b1215,23,Male,Electronics And Communication,0,6.13,0,1,0
223,Pranab,cs15b1478,21,Male,Computer Science,1,8.28,0,0,1
224,Sivaprasad,it15b1269,21,Male,Information Technology,2,9.46,0,0,1
225,Jaipal,it15b1519,20,Male,Information Technology,0,8.15,0,0,1
226,Aanvi,el15b1242,20,Female,Electrical,0,6.22,0,0,0
227,Rajendra,el15b1211,22,Male,Electrical,0,7.26,0,0,0
228,Amisha,cs15b1218,22,Female,Computer Science,1,7.41,0,0,1
229,Adwita,cv15b1272,21,Female,Civil,0,8.12,1,0,1
230,Namik,ec15b1026,21,Male,Electronics And Communication,2,6.09,1,1,0
231,Utkarsh,cv15b1106,21,Male,Civil,1,7.28,0,0,0
232,Ishani,cs15b1174,21,Female,Computer Science,1,7.27,0,0,0
233,Devesh,cs15b1345,25,Male,Computer Science,0,6.28,1,1,1
234,Aradhya,it15b1642,20,Female,Information Technology,1,7.09,0,1,0
235,Amaira,ec15b1046,21,Female,Electronics And Communication,0,8.14,0,0,1
236,Sanjay,it15b1090,22,Male,Information Technology,0,6.44,0,0,0
237,Myra,el15b1288,21,Female,Electrical,2,6.29,0,1,0
238,Aahana,it15b1355,22,Female,Information Technology,0,7.31,0,1,0
239,Aisha,cs15b1424,20,Female,Computer Science,2,7.32,1,1,0
240,Kirpa,cv15b1158,22,Male,Civil,0,6.05,0,0,0
241,Lakshan,me15b1118,22,Male,Mechanical,1,7.25,1,0,0
242,Anshika,cs15b1566,21,Female,Computer Science,1,8.12,0,0,1
243,Vani,cv15b1182,20,Female,Civil,2,6.44,0,0,1
244,Elangovan,me15b1403,22,Male,Mechanical,1,6.39,1,1,0
245,Raja,cs15b1771,23,Male,Computer Science,1,8.38,1,0,1
246,Vritika,ec15b1391,20,Female,Electronics And Communication,2,8.31,0,0,1
247,Aanya,it15b1599,20,Female,Information Technology,0,6.36,0,0,0
248,Surinder,it15b1177,21,Male,Information Technology,1,6.27,0,0,1
249,Surendranath,ec15b1360,21,Male,Electronics And Communication,0,7.29,0,0,1
250,Anvi,el15b1168,22,Female,Electrical,0,6.36,0,0,0
251,Anusha,cs15b1181,21,Female,Computer Science,0,8.1,0,1,1
252,Sara,ec15b1161,21,Female,Electronics And Communication,0,8.19,0,0,1
253,Devesh,me15b1264,20,Male,Mechanical,1,8.16,1,0,1
254,Naveen,ec15b1125,22,Male,Electronics And Communication,0,6.31,0,0,0
255,Amaira,cv15b1282,20,Female,Civil,0,8.46,0,0,1
256,Arvind,cs15b1315,22,Male,Computer Science,1,8.34,0,0,1
257,Sadanand,el15b1241,19,Male,Electrical,0,7.09,0,0,0
258,Varghese,cs15b1685,21,Male,Computer Science,1,9.2,1,0,1
259,Zoya,it15b1223,22,Female,Information Technology,0,6.44,0,0,1
260,Nirupam,cv15b1273,21,Male,Civil,0,8.01,1,0,1
261,Govindrao,cs15b1199,22,Male,Computer Science,1,6.46,1,0,1
262,Kyra,ec15b1338,22,Female,Electronics And Communication,0,8.46,0,0,1
263,Ariya,cs15b1419,23,Female,Computer Science,1,7.02,1,0,1
264,Ishita,cs15b1321,26,Female,Computer Science,1,7.2,0,0,1
265,Tithira,me15b1222,21,Female,Mechanical,0,6.31,1,0,1
266,Anusha,me15b1327,29,Female,Mechanical,1,8.32,1,0,1
267,Gunda,it15b1297,21,Male,Information Technology,0,7.34,0,0,1
268,Nibaran,cv15b1093,21,Male,Civil,0,6.13,0,0,0
269,Sekar,cv15b1011,21,Male,Civil,1,8.44,0,1,1
270,Kyra,el15b1129,21,Female,Electrical,1,9.28,0,0,1
271,Riva,cs15b1691,21,Female,Computer Science,0,8.11,0,0,1
272,Dinesh,me15b1129,21,Male,Mechanical,1,6.19,1,0,0
273,Mehul,cs15b1687,20,Male,Computer Science,1,9.4,0,0,1
274,Suresh,ec15b1221,23,Male,Electronics And Communication,0,6.11,0,0,0
275,Vineet,cs15b1684,20,Male,Computer Science,1,8.12,0,0,1
276,Kulbhushan,cs15b1532,22,Male,Computer Science,0,6.24,0,0,0
277,Gunda,me15b1320,19,Male,Mechanical,1,6.42,1,1,0
278,Aradhya,me15b1391,21,Female,Mechanical,1,7.28,0,0,0
279,Sambhunath,it15b1607,21,Male,Information Technology,0,7.08,0,0,0
280,Pihu,me15b1329,19,Female,Mechanical,1,7.26,1,0,0
281,Riva,me15b1405,22,Female,Mechanical,0,7.3,1,0,0
282,Pihu,it15b1030,23,Female,Information Technology,1,6.46,0,0,0
283,Aarna,cs15b1595,22,Female,Computer Science,1,6.13,0,0,1
284,Sudhir,me15b1384,21,Male,Mechanical,1,8.35,0,0,1
285,Govindrao,cv15b1305,20,Male,Civil,1,8.26,0,0,1
286,Radhanath,cs15b1292,22,Male,Computer Science,0,9.01,1,0,1
287,Aanya,ec15b1124,21,Female,Electronics And Communication,2,7.47,0,0,1
288,Jahangir,it15b1454,23,Male,Information Technology,0,7.08,0,0,0
289,Muthuswamy,ec15b1033,22,Male,Electronics And Communication,1,8.14,1,1,1
290,Aarya,cs15b1677,20,Female,Computer Science,1,8.02,0,0,1
291,Neeraj,me15b1184,22,Male,Mechanical,2,9.33,0,0,1
292,Nia,it15b1240,21,Female,Information Technology,1,6.38,0,1,1
293,Anirban,me15b1393,20,Male,Mechanical,1,6.32,0,1,0
294,Anshi,el15b1152,26,Female,Electrical,0,6.04,0,0,1
295,Sara,ec15b1252,22,Female,Electronics And Communication,1,8.1,0,0,1
296,Manmohan,me15b1366,20,Male,Mechanical,1,8.12,1,0,1
297,Lakshman,ec15b1192,22,Male,Electronics And Communication,0,7.5,0,0,0
298,Vritika,ec15b1411,21,Female,Electronics And Communication,0,8.03,0,0,1
299,Munish,cs15b1266,21,Male,Computer Science,2,8.32,0,0,1
300,Shanaya,cv15b1300,20,Female,Civil,0,9.34,0,1,1
301,Amarjit,me15b1050,22,Male,Mechanical,1,6.36,1,0,0
302,Nibaran,el15b1207,19,Male,Electrical,0,8.01,0,0,1
303,Sana,cs15b1469,23,Female,Computer Science,1,6.01,0,0,0
304,Anushka,me15b1147,22,Female,Mechanical,1,7.31,1,0,0
305,Puran,it15b1638,20,Male,Information Technology,1,7.17,1,0,0
306,Kyra,el15b1173,22,Female,Electrical,1,7.05,0,0,0
307,Hitesh,it15b1524,22,Male,Information Technology,1,5.32,1,0,0
308,Gopinathan,it15b1029,23,Male,Information Technology,1,6.5,0,0,1
309,Aiza,el15b1086,26,Female,Electrical,0,9.21,0,1,1
310,Aarya,el15b1283,21,Female,Electrical,0,7.21,0,0,0
311,Navya,it15b1020,22,Female,Information Technology,1,6.07,0,0,1
312,Srikanta,ec15b1011,21,Male,Electronics And Communication,3,6.2,0,0,1
313,Sriram,it15b1578,21,Male,Information Technology,1,6.1,0,0,0
314,Nana,cv15b1179,21,Male,Civil,0,7.13,0,0,1
315,Kaira,cs15b1572,20,Female,Computer Science,0,5.25,0,0,0
316,Kazi,cv15b1261,20,Male,Civil,1,8.17,0,0,1
317,Biju,it15b1541,22,Male,Information Technology,3,6.17,1,1,0
318,Dhinakaran,me15b1407,22,Male,Mechanical,0,7.32,1,0,0
319,Harish,me15b1070,22,Male,Mechanical,0,7.37,1,1,0
320,Pranav,it15b1489,20,Male,Information Technology,1,7.2,0,0,0
321,Vidyut,it15b1403,21,Male,Information Technology,0,6.48,0,0,0
322,Harsh,cs15b1185,25,Male,Computer Science,1,8.48,0,0,1
323,Rahul,me15b1037,22,Male,Mechanical,0,6.38,1,0,1
324,Umesh,ec15b1239,21,Male,Electronics And Communication,1,5.17,0,0,0
325,Jadunath,el15b1140,22,Male,Electrical,1,7.01,0,1,0
326,Nirupam,it15b1105,21,Male,Information Technology,1,8.16,1,0,1
327,Yogeshwar,it15b1622,21,Male,Information Technology,0,8.31,0,0,1
328,Diyara,cs15b1445,21,Female,Computer Science,1,6.33,0,1,0
329,Ishita,cs15b1676,21,Female,Computer Science,1,6.39,1,0,0
330,Mahboob,cs15b1083,21,Male,Computer Science,1,7.02,0,0,1
331,Ishani,cv15b1194,22,Female,Civil,0,5.03,1,0,0
332,Aiza,cs15b1465,20,Female,Computer Science,0,6.24,0,0,0
333,Aritra,me15b1279,22,Male,Mechanical,3,7.42,1,1,0
334,Aradhya,el15b1221,22,Female,Electrical,0,7.31,1,1,0
335,Tanisha,el15b1192,22,Female,Electrical,1,6.34,0,1,0
336,Anaya,cv15b1218,19,Female,Civil,1,7.38,0,1,0
337,Sarabjit,cs15b1459,20,Male,Computer Science,1,8.15,0,0,1
338,Anshi,cv15b1140,21,Female,Civil,0,9.29,0,1,1
339,Pranab,me15b1294,20,Male,Mechanical,0,8.27,1,1,1
340,Ishika,cs15b1744,23,Female,Computer Science,1,6.15,1,0,0
341,Aahana,cs15b1051,22,Female,Computer Science,0,5.09,0,0,0
342,Kalimuthu,cs15b1025,21,Male,Computer Science,0,6.5,0,0,0
343,Nitish,cs15b1525,20,Male,Computer Science,0,8.42,0,0,1
344,Jaipal,me15b1067,22,Male,Mechanical,1,7.35,1,0,0
345,Naveen,me15b1299,19,Male,Mechanical,0,6.04,0,0,1
346,Ajish,it15b1444,21,Male,Information Technology,1,6.26,1,0,0
347,Aanvi,it15b1322,26,Female,Information Technology,0,7.25,0,0,0
348,Pranab,cs15b1118,21,Male,Computer Science,0,7.01,0,1,0
349,Mansukh,cs15b1323,24,Male,Computer Science,1,7.36,0,0,0
350,Dileesh,it15b1354,22,Male,Information Technology,1,6.42,0,0,0
351,Nida,ec15b1048,21,Male,Electronics And Communication,1,7.18,0,1,1
352,Navya,it15b1366,21,Female,Information Technology,0,8.3,0,0,1
353,Anshi,cs15b1028,23,Female,Computer Science,0,7.31,0,0,1
354,Krishnayya,it15b1457,21,Male,Information Technology,1,7.05,0,0,0
355,Kavya,cs15b1457,23,Female,Computer Science,1,7.13,0,0,0
356,Arvind,me15b1218,24,Male,Mechanical,0,6.32,1,0,1
357,Ziya,cs15b1362,28,Female,Computer Science,3,8.38,1,0,1
358,Nirupam,it15b1621,20,Male,Information Technology,1,8.17,1,0,1
359,Amaya,it15b1676,23,Female,Information Technology,1,7.47,0,0,0
360,Kalimuthu,ec15b1324,19,Male,Electronics And Communication,0,7.16,0,0,0
361,Jawahar,ec15b1004,22,Male,Electronics And Communication,1,7.05,0,1,0
362,Neelan,ec15b1258,22,Male,Electronics And Communication,1,8.29,0,1,1
363,Namik,it15b1538,19,Male,Information Technology,1,6.12,0,0,0
364,Pallav,cs15b1373,21,Male,Computer Science,2,7.39,0,0,1
365,Biju,me15b1079,22,Male,Mechanical,1,8.22,0,0,1
366,Kalimuthu,el15b1289,21,Male,Electrical,0,7.13,0,0,0
367,Shreya,cv15b1252,20,Female,Civil,0,7.24,1,0,0
368,Tara,ec15b1316,20,Female,Electronics And Communication,1,6.35,0,0,0
369,Giridhar,el15b1080,21,Male,Electrical,0,7.42,0,0,0
370,Sudhir,cs15b1592,20,Male,Computer Science,0,8.19,0,1,1
371,Anvika,ec15b1021,24,Female,Electronics And Communication,2,6.49,0,0,1
372,Akshat,cs15b1178,21,Male,Computer Science,1,7.38,0,0,0
373,Tarun,it15b1392,21,Male,Information Technology,0,7.07,0,0,1
374,Saina,it15b1508,19,Female,Information Technology,1,8.17,0,0,1
375,Anshi,cs15b1698,20,Female,Computer Science,1,7.28,0,0,0
